LOCATION,INDICATOR,TIME,Value
CZE,INFRAINVEST,2019,762841938.8
CZE,INFRAINVEST,2020,1123320293
CZE,INFRAINVEST,2021,1448913705
DNK,INFRAINVEST,1995,726071706.4
DNK,INFRAINVEST,1996,1033587869
DNK,INFRAINVEST,1997,872255409
DNK,INFRAINVEST,1998,818021813.9
DNK,INFRAINVEST,1999,634649523.9
DNK,INFRAINVEST,2000,563873460.5
DNK,INFRAINVEST,2001,459730012.6
DNK,INFRAINVEST,2002,478433483.6
DNK,INFRAINVEST,2003,337922403
DNK,INFRAINVEST,2004,341536848.6
DNK,INFRAINVEST,2005,240884630.4
DNK,INFRAINVEST,2006,178171629.3
DNK,INFRAINVEST,2007,232055618.2
DNK,INFRAINVEST,2008,372988197.4
DNK,INFRAINVEST,2009,356687213.8
DNK,INFRAINVEST,2010,396390589.8
DNK,INFRAINVEST,2011,862871944.9
DNK,INFRAINVEST,2012,915795695.7
DNK,INFRAINVEST,2013,996124914.5
DNK,INFRAINVEST,2014,1159371688
DNK,INFRAINVEST,2015,1308422492
DNK,INFRAINVEST,2016,1185026997
DNK,INFRAINVEST,2017,1228171589
DNK,INFRAINVEST,2018,1351365856
FIN,INFRAINVEST,1995,226000000
FIN,INFRAINVEST,1996,192000000
FIN,INFRAINVEST,1997,224000000
FIN,INFRAINVEST,1998,254000000
FIN,INFRAINVEST,1999,264000000
FIN,INFRAINVEST,2000,233000000
FIN,INFRAINVEST,2001,204000000
FIN,INFRAINVEST,2002,225000000
FIN,INFRAINVEST,2003,275000000
FIN,INFRAINVEST,2004,328000000
FIN,INFRAINVEST,2005,281000000
FIN,INFRAINVEST,2006,234000000
FIN,INFRAINVEST,2007,211000000
FIN,INFRAINVEST,2008,327000000
FIN,INFRAINVEST,2009,361000000
FIN,INFRAINVEST,2010,388000000
FIN,INFRAINVEST,2011,355000000
FIN,INFRAINVEST,2012,450000000
FIN,INFRAINVEST,2013,605000000
FIN,INFRAINVEST,2014,643000000
FIN,INFRAINVEST,2015,567000000
FIN,INFRAINVEST,2016,537000000
FIN,INFRAINVEST,2017,521000000
FIN,INFRAINVEST,2018,491000000
FIN,INFRAINVEST,2019,462000000
FIN,INFRAINVEST,2020,684000000
FIN,INFRAINVEST,2021,606000000
FRA,INFRAINVEST,1995,2765572479
FRA,INFRAINVEST,1996,2963000000
FRA,INFRAINVEST,1997,3024000000
FRA,INFRAINVEST,1998,2879000000
FRA,INFRAINVEST,1999,2891000000
FRA,INFRAINVEST,2000,2954750000
FRA,INFRAINVEST,2001,2443638000
FRA,INFRAINVEST,2002,3044642000
FRA,INFRAINVEST,2003,3633564000
FRA,INFRAINVEST,2004,3680498000
FRA,INFRAINVEST,2005,4171382500
FRA,INFRAINVEST,2006,4303020000
FRA,INFRAINVEST,2007,4616418000
FRA,INFRAINVEST,2008,4696513302
FRA,INFRAINVEST,2009,4968770094
FRA,INFRAINVEST,2010,5103166000
FRA,INFRAINVEST,2011,7060006000
FRA,INFRAINVEST,2012,8043087000
FRA,INFRAINVEST,2013,10467884000
FRA,INFRAINVEST,2014,9125321000
FRA,INFRAINVEST,2015,8797194000
FRA,INFRAINVEST,2016,8614650000
FRA,INFRAINVEST,2017,9334770000
FRA,INFRAINVEST,2018,10284883399
FRA,INFRAINVEST,2019,11528382879
FRA,INFRAINVEST,2020,10789379413
FRA,INFRAINVEST,2021,11557639689
DEU,INFRAINVEST,1995,5747000000
DEU,INFRAINVEST,1996,5200000000
DEU,INFRAINVEST,1997,4745000000
DEU,INFRAINVEST,1998,4423000000
DEU,INFRAINVEST,1999,7350000000
DEU,INFRAINVEST,2000,5305000000
DEU,INFRAINVEST,2001,5481000000
DEU,INFRAINVEST,2002,7437000000
DEU,INFRAINVEST,2003,7228000000
DEU,INFRAINVEST,2004,6404000000
DEU,INFRAINVEST,2005,3411000000
DEU,INFRAINVEST,2006,3971000000
DEU,INFRAINVEST,2007,3836000000
DEU,INFRAINVEST,2008,3816000000
DEU,INFRAINVEST,2009,3412000000
DEU,INFRAINVEST,2010,3807000000
DEU,INFRAINVEST,2011,4086000000
DEU,INFRAINVEST,2012,5915000000
DEU,INFRAINVEST,2013,5773301077
DEU,INFRAINVEST,2014,6848115139
DEU,INFRAINVEST,2015,6857149428
DEU,INFRAINVEST,2016,6413000000
DEU,INFRAINVEST,2017,7056000000
DEU,INFRAINVEST,2018,7590000000
DEU,INFRAINVEST,2019,8577000000
DEU,INFRAINVEST,2020,9615000000
DEU,INFRAINVEST,2021,10078000000
GRC,INFRAINVEST,2000,591000000
GRC,INFRAINVEST,2001,304000000
GRC,INFRAINVEST,2002,983000000
GRC,INFRAINVEST,2003,1699000000
GRC,INFRAINVEST,2004,1786000000
GRC,INFRAINVEST,2005,430000000
GRC,INFRAINVEST,2006,247000000
GRC,INFRAINVEST,2007,324000000
GRC,INFRAINVEST,2008,340000000
GRC,INFRAINVEST,2009,467000000
GRC,INFRAINVEST,2010,503562714.6
GRC,INFRAINVEST,2011,164317672.2
GRC,INFRAINVEST,2012,246008252.3
GRC,INFRAINVEST,2013,142647267.8
GRC,INFRAINVEST,2014,59358735.16
GRC,INFRAINVEST,2015,343564393.9
GRC,INFRAINVEST,2016,449573425
GRC,INFRAINVEST,2017,223801714.4
GRC,INFRAINVEST,2018,150967152.6
GRC,INFRAINVEST,2019,97855565.72
GRC,INFRAINVEST,2020,50895098.94
GRC,INFRAINVEST,2021,49384982.77
HUN,INFRAINVEST,1995,84991378.13
HUN,INFRAINVEST,1996,102938519.7
HUN,INFRAINVEST,1997,79737526.51
HUN,INFRAINVEST,1998,135276507.9
HUN,INFRAINVEST,1999,188116128.4
HUN,INFRAINVEST,2000,196793653.1
HUN,INFRAINVEST,2001,227570120
HUN,INFRAINVEST,2002,277905522.8
HUN,INFRAINVEST,2003,279364646.1
HUN,INFRAINVEST,2004,154510341.3
HUN,INFRAINVEST,2005,170675845.7
HUN,INFRAINVEST,2006,91408668
HUN,INFRAINVEST,2007,376435451.9
HUN,INFRAINVEST,2008,298159789.5
HUN,INFRAINVEST,2009,317614835.7
HUN,INFRAINVEST,2010,271989023.7
HUN,INFRAINVEST,2011,348777344.2
HUN,INFRAINVEST,2012,472418138.5
HUN,INFRAINVEST,2013,623201661.7
HUN,INFRAINVEST,2014,626656305.2
HUN,INFRAINVEST,2015,701286715.8
HUN,INFRAINVEST,2016,323165093.4
HUN,INFRAINVEST,2017,556053318.7
HUN,INFRAINVEST,2018,803129312.3
HUN,INFRAINVEST,2019,879842868.5
HUN,INFRAINVEST,2020,717621881.8
HUN,INFRAINVEST,2021,645515782
ISL,INFRAINVEST,1995,
ISL,INFRAINVEST,1996,
ISL,INFRAINVEST,1997,
ISL,INFRAINVEST,1998,
ISL,INFRAINVEST,1999,
ISL,INFRAINVEST,2000,
ISL,INFRAINVEST,2001,
ISL,INFRAINVEST,2002,
ISL,INFRAINVEST,2003,
ISL,INFRAINVEST,2004,
ISL,INFRAINVEST,2005,
ISL,INFRAINVEST,2006,
ISL,INFRAINVEST,2007,
ISL,INFRAINVEST,2008,
ISL,INFRAINVEST,2009,
ISL,INFRAINVEST,2010,
ISL,INFRAINVEST,2011,
ISL,INFRAINVEST,2012,
ISL,INFRAINVEST,2013,
ISL,INFRAINVEST,2014,
ISL,INFRAINVEST,2015,
ISL,INFRAINVEST,2016,
ISL,INFRAINVEST,2017,
ISL,INFRAINVEST,2018,
ISL,INFRAINVEST,2019,
ISL,INFRAINVEST,2020,
ISL,INFRAINVEST,2021,
IRL,INFRAINVEST,1995,29000000
IRL,INFRAINVEST,1996,2000000
IRL,INFRAINVEST,1997,9000000
IRL,INFRAINVEST,1998,35659484.51
IRL,INFRAINVEST,1999,5223189.3
IRL,INFRAINVEST,2000,245005372.3
IRL,INFRAINVEST,2001,86127937.85
IRL,INFRAINVEST,2002,151516434.2
IRL,INFRAINVEST,2003,195394806.6
